record_date,monthly_expenses_usd,monthly_income_usd,savings_usd,monthly_emi_usd,debt_to_income_ratio,credit_score
2024-01-09,1182.59,3531.69,367655.03,0.0,0.0,430
2022-02-13,2367.99,3531.73,260869.1,4953.5,1.4,543
2022-05-12,1003.91,2799.49,230921.21,0.0,0.0,754
2023-10-02,4440.12,5894.88,304815.51,4926.57,0.84,461
2021-08-07,4137.61,5128.93,461509.48,0.0,0.0,516
2025-02-12,2244.42,4051.0,194901.41,38219.81,9.43,718
2024-06-01,332.62,983.69,37522.56,6773.29,6.89,761
2024-03-17,4503.15,6199.29,89107.54,0.0,0.0,540
2023-05-02,3062.12,4271.51,451923.96,0.0,0.0,327
2024-11-23,4369.36,5216.18,203320.5,6782.37,1.3,558
2022-09-02,2247.92,3677.43,311546.91,1818.01,0.49,412
2025-02-21,1537.78,4808.1,202875.2,0.0,0.0,429
2024-09-07,1804.98,2449.33,109956.88,0.0,0.0,497
2022-01-15,3630.24,5546.28,453101.38,10823.31,1.95,788
2024-06-04,2287.38,3286.51,323017.91,0.0,0.0,301
2021-11-03,2573.59,5112.24,218221.57,0.0,0.0,430
2023-11-21,1389.77,4586.14,93116.97,0.0,0.0,462
2021-09-18,1336.77,2571.3,230407.66,0.0,0.0,332
2022-02-14,3907.42,5757.35,550538.43,0.0,0.0,583
2022-07-22,1148.36,3520.81,420217.83,0.0,0.0,345
2023-03-24,7316.78,8237.77,83622.72,13258.1,1.61,622
2023-03-14,3500.65,7093.07,723648.99,2286.5,0.32,707
2023-11-25,604.03,1694.87,118470.87,1315.94,0.78,641
2022-05-22,612.4,998.46,92532.51,1741.49,1.74,649
2021-12-11,1507.85,2676.43,28157.7,745.27,0.28,357
2022-05-06,3971.27,5704.87,196567.84,0.0,0.0,746
2023-01-20,1264.5,3525.22,210117.09,0.0,0.0,588
2024-06-14,4063.81,7744.01,585076.67,0.0,0.0,624
2022-02-01,342.99,500.0,27820.22,0.0,0.0,567
2022-11-29,2121.71,6561.08,489775.18,7393.94,1.13,495
2023-01-16,2272.56,4101.49,281937.28,0.0,0.0,398
2024-10-14,2211.0,4989.2,408942.57,0.0,0.0,572
2022-09-30,2777.32,3177.42,259278.31,0.0,0.0,805
2024-04-23,5178.58,5968.05,561103.95,6187.05,1.04,432
2023-07-08,1885.49,5227.68,58507.61,0.0,0.0,469
2025-04-13,5990.35,6715.76,306664.24,2948.4,0.44,431
2023-12-28,2095.91,5715.32,341340.99,5560.36,0.97,660
2022-10-04,1287.07,3680.12,235418.64,0.0,0.0,357
2023-04-18,1963.55,5687.15,119125.28,4681.0,0.82,558
2022-02-15,1255.01,1867.36,63775.73,9002.72,4.82,340
2024-07-30,368.84,970.85,9953.74,0.0,0.0,555
2022-04-16,1692.58,5359.32,246120.6,0.0,0.0,523
2023-07-25,2069.83,3770.92,127007.45,9122.99,2.42,736
2022-04-10,2444.52,6475.63,741726.83,0.0,0.0,745
2024-11-19,3423.56,4484.67,282513.69,0.0,0.0,353
2022-12-14,6096.05,8094.8,606242.03,0.0,0.0,734
2022-02-26,2105.77,3461.19,326383.22,25393.55,7.34,437
